,emoji,name,edit,origin
441,🚵‍♀️,woman mountain biking,산악자전거 타는 여자,여자 산 자전거입니다
442,🤸,person cartwheeling,옆구르기 하는 사람,사람 카트 휠링
443,🤸‍♂️,man cartwheeling,옆구르기 하는 남자,남자 카트 휠링
444,🤸‍♀️,woman cartwheeling,옆구르기 하는 여자,여자 cartwheeling.
445,🤼,people wrestling,헤슬링하는 사람,사람들은 레슬링
446,🤼‍♂️,men wrestling,남자 레슬링,남자 레슬링
447,🤼‍♀️,women wrestling,여자 레슬링,여성 레슬링
448,🤽,person playing water polo,수구하는 사람,사람을 재생하는 사람
449,🤽‍♂️,man playing water polo,수구하는 남자,남자 물 폴로를 연주
450,🤽‍♀️,woman playing water polo,수구하는 여자,여자 물 폴로 재생
451,🤾,person playing handball,핸드폴하는 사람,핸드볼을하는 사람
452,🤾‍♂️,man playing handball,핸드볼하는 남자,남자 핸드볼을 재생합니다
453,🤾‍♀️,woman playing handball,핸드볼하는 여자,여자 핸드볼 재생
454,🤹,person juggling,저글링하는 사람,사람이 저글링
455,🤹‍♂️,man juggling,저글링하는 남자,남자 저글링
456,🤹‍♀️,woman juggling,저글링하는 여자,여자 저글링
457,🧘,person in lotus position,로터스 위치에있는 사람,로터스 위치에있는 사람
458,🧘‍♂️,man in lotus position,로터스 위치에있는 남자,로터스 위치에있는 남자
459,🧘‍♀️,woman in lotus position,로터스 위치에있는 여자,로터스 위치에있는 여자
460,🛀,person taking bath,목욕을하는 사람,목욕을하는 사람
461,🛌,person in bed,침대에있는 사람,침대에있는 사람
462,🧑‍🤝‍🧑,people holding hands,손잡고 있는 사람,사람들이 손을 잡고
463,👭,women holding hands,손잡고 있는 여자,여자 손을 잡고
464,👫,woman and man holding hands,손잡고 있는 여자 남자,여자와 남자 지주 손
465,👬,men holding hands,손잡고 있는 남자,남자 손을 잡고
466,💏,kiss,키스,키스
467,👩‍❤️‍💋‍👨,"kiss: woman, man",남자 어자 키스,"키스 : 여자, 남자"
468,👨‍❤️‍💋‍👨,"kiss: man, man",남자 남자 키스,"키스 : 남자, 남자"
469,👩‍❤️‍💋‍👩,"kiss: woman, woman",여자 여자 키스,"키스 : 여자, 여자"
470,💑,couple with heart,하트와 커플,마음과 몇입니다
471,👩‍❤️‍👨,"couple with heart: woman, man",여자 남자 하트,"마음을 가진 커플 : 여자, 남자"
472,👨‍❤️‍👨,"couple with heart: man, man",남자 남자 하트,"마음을 가진 커플 : 남자, 남자"
473,👩‍❤️‍👩,"couple with heart: woman, woman",여자 여자 하트,"심장 부부 : 여자, 여자"
474,👪,family,가족,가족
475,👨‍👩‍👦,"family: man, woman, boy","가족 : 남자, 여자, 소년","가족 : 남자, 여자, 소년"
476,👨‍👩‍👧,"family: man, woman, girl","가족 : 남자, 여자, 여자","가족 : 남자, 여자, 여자"
477,👨‍👩‍👧‍👦,"family: man, woman, girl, boy","가족 : 남자, 여자, 여자, 소년","가족 : 남자, 여자, 여자, 소년"
478,👨‍👩‍👦‍👦,"family: man, woman, boy, boy","가족 : 남자, 여자, 소년, 소년","가족 : 남자, 여자, 소년, 소년"
479,👨‍👩‍👧‍👧,"family: man, woman, girl, girl","가족 : 남자, 여자, 여자, 여자","가족 : 남자, 여자, 여자, 여자"
480,👨‍👨‍👦,"family: man, man, boy","가족 : 남자, 남자, 소년","가족 : 남자, 남자, 소년"
481,👨‍👨‍👧,"family: man, man, girl","가족 : 남자, 남자, 여자","가족 : 남자, 남자, 여자"
482,👨‍👨‍👧‍👦,"family: man, man, girl, boy","가족 : 남자, 남자, 여자, 소년","가족 : 남자, 남자, 여자, 소년"
483,👨‍👨‍👦‍👦,"family: man, man, boy, boy","가족 : 남자, 남자, 소년, 소년","가족 : 남자, 남자, 소년, 소년"
484,👨‍👨‍👧‍👧,"family: man, man, girl, girl","가족 : 남자, 남자, 여자, 여자","가족 : 남자, 남자, 여자, 여자"
485,👩‍👩‍👦,"family: woman, woman, boy","가족 : 여자, 여자, 소년","가족 : 여자, 여자, 소년"
486,👩‍👩‍👧,"family: woman, woman, girl","가족 : 여자, 여자, 여자","가족 : 여자, 여자, 여자"
487,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy","가족 : 여자, 여자, 여자, 소년","가족 : 여자, 여자, 여자, 소년"
488,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy","가족 : 여자, 여자, 소년, 소년","가족 : 여자, 여자, 소년, 소년"
489,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl","가족 : 여자, 여자, 여자, 여자","가족 : 여자, 여자, 여자, 여자"
490,👨‍👦,"family: man, boy","가족 : 남자, 소년","가족 : 남자, 소년"
491,👨‍👦‍👦,"family: man, boy, boy","가족 : 남자, 소년, 소년","가족 : 남자, 소년, 소년"
492,👨‍👧,"family: man, girl","가족 : 남자, 소녀","가족 : 남자, 소녀"
493,👨‍👧‍👦,"family: man, girl, boy","가족 : 남자, 여자, 소년","가족 : 남자, 여자, 소년"
494,👨‍👧‍👧,"family: man, girl, girl","가족 : 남자, 여자, 여자","가족 : 남자, 여자, 여자"
495,👩‍👦,"family: woman, boy","가족 : 여자, 소년","가족 : 여자, 소년"
496,👩‍👦‍👦,"family: woman, boy, boy","가족 : 여자, 소년, 소년","가족 : 여자, 소년, 소년"
497,👩‍👧,"family: woman, girl","가족 : 여자, 여자","가족 : 여자, 여자"
498,👩‍👧‍👦,"family: woman, girl, boy","가족 : 여자, 여자, 소년","가족 : 여자, 여자, 소년"
499,👩‍👧‍👧,"family: woman, girl, girl","가족 : 여자, 소녀, 소녀","가족 : 여자, 소녀, 소녀"
500,🗣,speaking head,말하는 머리,말하기 머리
501,👤,bust in silhouette,흉상 실루엣,실루엣에서 흉상
502,👥,busts in silhouette,흉상 실루엣,실루엣에서 흉상
503,🫂,people hugging,포옹하는 사람들,사람들이 포옹
504,👣,footprints,발자취,발자취
505,🦰,red hair,빨강 머리,빨강 머리
506,🦱,curly hair,곱슬 머리,곱슬 머리
507,🦳,white hair,흰 머리카락,흰 머리카락
508,🦲,bald,노골적인,노골적인
509,🐵,monkey face,원숭이 얼굴,원숭이 얼굴
510,🐒,monkey,원숭이,원숭이
511,🦍,gorilla,고릴라,고릴라
512,🦧,orangutan,오랑우탄,오랑우탄
513,🐶,dog face,강아지 얼굴,강아지 얼굴
514,🐕,dog,개,개
515,🦮,guide dog,안내견,안내견
516,🐕‍🦺,service dog,서비스 개,서비스 개
517,🐩,poodle,푸들,푸들
518,🐺,wolf,늑대,늑대
519,🦊,fox,여우,여우
520,🦝,raccoon,너구리,너구리
521,🐱,cat face,고양이 얼굴,고양이 얼굴
522,🐈,cat,고양이,고양이
523,🐈‍⬛,black cat,검은 고양이,검은 고양이
524,🦁,lion,사자,사자
525,🐯,tiger face,호랑이 얼굴,호랑이 얼굴
526,🐅,tiger,호랑이,호랑이
527,🐆,leopard,표범,표범
528,🐴,horse face,말 얼굴,말 얼굴
529,🐎,horse,말,말
530,🦄,unicorn,일각수,일각수
531,🦓,zebra,얼룩말,얼룩말
532,🦌,deer,사슴,사슴
533,🦬,bison,바이슨,바이슨
534,🐮,cow face,암소 얼굴,암소 얼굴
535,🐂,ox,황소,황소
536,🐃,water buffalo,물소,물소
537,🐄,cow,암소,암소
538,🐷,pig face,돼지 얼굴,돼지 얼굴
539,🐖,pig,돼지,돼지
540,🐗,boar,수퇘지,수퇘지
541,🐽,pig nose,돼지 코,돼지 코
542,🐏,ram,램,램
543,🐑,ewe,암양,암양
544,🐐,goat,염소,염소
545,🐪,camel,낙타,낙타
546,🐫,two-hump camel,2개의 혹을 가진 낙타,2 혹 낙타
547,🦙,llama,야마,야마
548,🦒,giraffe,기린,기린
549,🐘,elephant,코끼리,코끼리
550,🦣,mammoth,거대한,거대한
551,🦏,rhinoceros,코뿔소,코뿔소
552,🦛,hippopotamus,하마,하마
553,🐭,mouse face,쥐 얼굴,마우스 얼굴
554,🐁,mouse,쥐,쥐
555,🐀,rat,쥐,쥐
556,🐹,hamster,햄스터,햄스터
557,🐰,rabbit face,토끼 얼굴,토끼 얼굴
558,🐇,rabbit,토끼,토끼
559,🐿,chipmunk,다람쥐,다람쥐
560,🦫,beaver,비버,비버
561,🦔,hedgehog,고슴도치,고슴도치
562,🦇,bat,박쥐,박쥐
563,🐻,bear,곰,곰
564,🐻‍❄️,polar bear,북극곰,북극곰
565,🐨,koala,코알라,코알라
566,🐼,panda,팬더,팬더
567,🦥,sloth,나태,나태
568,🦦,otter,수달,수달
569,🦨,skunk,스컹크,스컹크
570,🦘,kangaroo,캥거루,캥거루
571,🦡,badger,오소리,오소리
572,🐾,paw prints,발자국,발자국
573,🦃,turkey,칠면조,칠면조
574,🐔,chicken,닭,닭
575,🐓,rooster,수탉,수탉
576,🐣,hatching chick,부화하는 병아리,병아리를 부화
577,🐤,baby chick,아기 병아리,아기 병아리
578,🐥,front-facing baby chick,병아리 정면,전면에 직면하는 아기 병아리
579,🐦,bird,새,새
580,🐧,penguin,펭귄,펭귄
581,🕊,dove,비둘기,비둘기
582,🦅,eagle,독수리,독수리
583,🦆,duck,오리,오리
584,🦢,swan,백조,백조
585,🦉,owl,올빼미,올빼미
586,🦤,dodo,도도,도도
587,🪶,feather,깃털,깃털
588,🦩,flamingo,플라밍고,플라밍고
589,🦚,peacock,공작,공작
590,🦜,parrot,앵무새,앵무새
591,🐸,frog,개구리,개구리
592,🐊,crocodile,악어,악어
593,🐢,turtle,거북이,거북이
594,🦎,lizard,도마뱀,도마뱀
595,🐍,snake,뱀,뱀
596,🐲,dragon face,용면,용면
597,🐉,dragon,용,용
598,🦕,sauropod,공룡,Sauropod.
599,🦖,T-Rex,티라노사우로스,T-Rex
600,🐳,spouting whale,물 뿜는 고래,고래를 주저
601,🐋,whale,고래,고래
602,🐬,dolphin,돌고래,돌고래
603,🦭,seal,봉인,봉인
604,🐟,fish,생선,생선
605,🐠,tropical fish,열대어,열대어
606,🐡,blowfish,복어,복어
607,🦈,shark,상어,상어
608,🐙,octopus,문어,문어
609,🐚,spiral shell,나선형 껍질,나선형 껍질
610,🐌,snail,달팽이,달팽이
611,🦋,butterfly,나비,나비
612,🐛,bug,벌레,벌레
613,🐜,ant,개미,개미
614,🐝,honeybee,꿀벌,꿀벌
615,🪲,beetle,딱정벌레,딱정벌레
616,🐞,lady beetle,레이디 딱정벌레,레이디 딱정벌레
617,🦗,cricket,크리켓,크리켓
618,🪳,cockroach,바퀴벌레,바퀴벌레
619,🕷,spider,거미,거미
620,🕸,spider web,거미줄,거미줄
621,🦂,scorpion,투석기,투석기
622,🦟,mosquito,모기,모기
623,🪰,fly,파리,파리
624,🪱,worm,벌레,벌레
625,🦠,microbe,미생물,미생물
626,💐,bouquet,꽃다발,꽃다발
627,🌸,cherry blossom,벚꽃,벚꽃
628,💮,white flower,흰 꽃,흰 꽃
629,🏵,rosette,장미 매듭,장미 매듭
630,🌹,rose,장미,장미
631,🥀,wilted flower,시든 꽃,Wilted flower.
632,🌺,hibiscus,히비스커스,히비스커스
633,🌻,sunflower,해바라기,해바라기
634,🌼,blossom,꽃,꽃
635,🌷,tulip,튤립,튤립
636,🌱,seedling,모,모
637,🪴,potted plant,화분에 심은 식물,화분에 심은 식물
638,🌲,evergreen tree,에버그린 나무,에버그린 나무
639,🌳,deciduous tree,낙엽수 나무,낙엽수 나무
640,🌴,palm tree,야자수,야자수
641,🌵,cactus,선인장,선인장
642,🌾,sheaf of rice,찹쌀 뭉치,찹쌀 뭉치
643,🌿,herb,목초,목초
644,☘,shamrock,토끼풀,토끼풀
645,🍀,four leaf clover,네 잎 클로버,네 잎 클로버
646,🍁,maple leaf,단풍잎,단풍잎
647,🍂,fallen leaf,낙엽,낙엽
648,🍃,leaf fluttering in wind,바람에 날리는 잎,바람에 나부끼고 잎
649,🍇,grapes,포도,포도
650,🍈,melon,멜론,멜론
651,🍉,watermelon,수박,수박
652,🍊,tangerine,귤,귤
653,🍋,lemon,레몬,레몬
654,🍌,banana,바나나,바나나
655,🍍,pineapple,파인애플,파인애플
656,🥭,mango,망고,망고
657,🍎,red apple,빨간 사과,빨간 사과
658,🍏,green apple,녹색 사과,녹색 사과
659,🍐,pear,배,배
660,🍑,peach,복숭아,복숭아
661,🍒,cherries,버찌,버찌
662,🍓,strawberry,딸기,딸기
663,🫐,blueberries,블루 베리,블루 베리
664,🥝,kiwi fruit,키위 과일,키위 과일
665,🍅,tomato,토마토,토마토
666,🫒,olive,올리브,올리브
667,🥥,coconut,코코넛,코코넛
668,🥑,avocado,아보카도,아보카도
669,🍆,eggplant,가지,가지
670,🥔,potato,감자,감자
671,🥕,carrot,당근,당근
672,🌽,ear of corn,옥수수 껍데기,옥수수 껍데기
673,🌶,hot pepper,매운 고추,매운 고추
674,🫑,bell pepper,피망,피망
675,🥒,cucumber,오이,오이
676,🥬,leafy green,잎이 많은 녹색,잎이 많은 녹색
677,🥦,broccoli,브로콜리,브로콜리
678,🧄,garlic,마늘,마늘
679,🧅,onion,양파,양파
680,🍄,mushroom,버섯,버섯
681,🥜,peanuts,땅콩,땅콩
682,🌰,chestnut,밤나무,밤나무
683,🍞,bread,빵,빵
684,🥐,croissant,크로와상,크로와상
685,🥖,baguette bread,바게트 빵,바게트 빵
686,🫓,flatbread,플랫 브레드,플랫 브레드
687,🥨,pretzel,프레첼,프레첼
688,🥯,bagel,베이글,베이글
689,🥞,pancakes,팬케이크,팬케이크
690,🧇,waffle,와플,와플
691,🧀,cheese wedge,치즈 쐐기,치즈 쐐기
692,🍖,meat on bone,뼈에 고기,뼈에 고기
693,🍗,poultry leg,가금류 다리,가금류 다리
694,🥩,cut of meat,고기를 자른다,고기를 자른다
695,🥓,bacon,베이컨,베이컨
696,🍔,hamburger,햄버거,햄버거
697,🍟,french fries,감자 튀김,감자 튀김
698,🍕,pizza,피자,피자
699,🌭,hot dog,핫도그,핫도그
700,🥪,sandwich,샌드위치,샌드위치
701,🌮,taco,타코,타코
702,🌯,burrito,부리토,부리토
703,🫔,tamale,타협,타협
704,🥙,stuffed flatbread,박제 된 플랫,박제 된 플랫
705,🧆,falafel,팔라 펠,팔라 펠
706,🥚,egg,계란,계란
707,🍳,cooking,요리,요리
708,🥘,shallow pan of food,음식의 얕은 팬,음식의 얕은 팬
709,🍲,pot of food,음식의 냄비,음식의 냄비
710,🫕,fondue,폰듀,폰듀
711,🥣,bowl with spoon,숟가락 그릇,숟가락 그릇
712,🥗,green salad,그린 샐러드,그린 샐러드
713,🍿,popcorn,팝콘,팝콘
714,🧈,butter,버터,버터
715,🧂,salt,소금,소금
716,🥫,canned food,통조림 식품,통조림 식품
717,🍱,bento box,벤토 박스,벤토 박스
718,🍘,rice cracker,쌀 크래커,쌀 크래커
719,🍙,rice ball,주먹밥,주먹밥
720,🍚,cooked rice,요리 된 쌀,요리 된 쌀
721,🍛,curry rice,카레 밥,카레 밥
722,🍜,steaming bowl,김이 나는 그릇,김이 나는 그릇
723,🍝,spaghetti,스파게티,스파게티
724,🍠,roasted sweet potato,볶은 고구마,볶은 고구마
725,🍢,oden,오뎅,oden.
726,🍣,sushi,회,회
727,🍤,fried shrimp,새우 튀김,새우 튀김
728,🍥,fish cake with swirl,소용돌이와 물고기 케이크,소용돌이와 물고기 케이크
729,🥮,moon cake,달 케이크,달 케이크
730,🍡,dango,경단,경단
731,🥟,dumpling,심,심
732,🥠,fortune cookie,포춘 쿠키,포춘 쿠키
733,🥡,takeout box,테이크 아웃 상자,테이크 아웃 상자
734,🦀,crab,게,게
735,🦞,lobster,랍스터,랍스터
736,🦐,shrimp,새우,새우
737,🦑,squid,오징어,오징어
738,🦪,oyster,굴,굴
739,🍦,soft ice cream,부드러운 아이스크림,부드러운 아이스크림
740,🍧,shaved ice,빙수,빙수
741,🍨,ice cream,아이스크림,아이스크림
742,🍩,doughnut,도넛,도넛
743,🍪,cookie,쿠키,쿠키
744,🎂,birthday cake,생일 케이크,생일 케이크
745,🍰,shortcake,단축케,단축케
746,🧁,cupcake,컵케익,컵케익
747,🥧,pie,파이,파이
748,🍫,chocolate bar,초콜릿 바,초콜릿 바
749,🍬,candy,사탕,사탕
750,🍭,lollipop,사탕 과자,사탕 과자
751,🍮,custard,커스터드,커스터드
752,🍯,honey pot,꿀단지,꿀단지
753,🍼,baby bottle,아기 병,아기 병
754,🥛,glass of milk,우유 한 잔,우유 한 잔
755,☕,hot beverage,뜨거운 음료,뜨거운 음료
756,🫖,teapot,차 주전자,찻 주전자
757,🍵,teacup without handle,손잡이 없는 찻잔,찻잔 손잡이가없는
758,🍶,sake,사케,때문
759,🍾,bottle with popping cork,코르크를 터뜨린 병,코르크를 터뜨린 병
760,🍷,wine glass,와인 잔,와인 잔
761,🍸,cocktail glass,칵테일 잔,칵테일 잔
762,🍹,tropical drink,열대 음료,열대 음료
763,🍺,beer mug,맥주 잔,맥주 잔
764,🍻,clinking beer mugs,맥주 머그잔 짠,맥주 머그잔 clinking
765,🥂,clinking glasses,유리잔 짠,clinking 안경
766,🥃,tumbler glass,텀블러 유리,텀블러 유리
767,🥤,cup with straw,컵 컵,컵 컵
768,🧋,bubble tea,버블티,버블티
769,🧃,beverage box,음료 상자,음료 상자
770,🧉,mate,친구,친구
771,🧊,ice,빙,빙
772,🥢,chopsticks,젓가락,젓가락
773,🍽,fork and knife with plate,접시와 포크와 나이프,접시와 포크와 나이프
774,🍴,fork and knife,포크와 칼,포크와 칼
775,🥄,spoon,숟가락,숟가락
776,🔪,kitchen knife,부엌 칼,부엌 칼
777,🏺,amphora,암포라,amphora.
778,🌍,globe showing Europe-Africa,유럽 - 아프리카를 보여주는 글로브,유럽 - 아프리카를 보여주는 글로브
779,🌎,globe showing Americas,아메리카를 보여주는 글로브,아메리카를 보여주는 글로브
780,🌏,globe showing Asia-Australia,아시아 호주를 보여주는 글로브,아시아 호주를 보여주는 글로브
781,🌐,globe with meridians,경제와 글로브,경제와 글로브
782,🗺,world map,세계지도,세계지도
783,🗾,map of Japan,일본의지도,일본의지도
784,🧭,compass,나침반,나침반
785,🏔,snow-capped mountain,눈 덮인 산,눈 덮인 산
786,⛰,mountain,산,산
787,🌋,volcano,화산,화산
788,🗻,mount fuji,후지산,후지산
789,🏕,camping,캠핑,캠핑
790,🏖,beach with umbrella,우산 해변,우산 해변
791,🏜,desert,사막,사막
792,🏝,desert island,사막의 섬,사막의 섬
793,🏞,national park,국립 공원,국립 공원
794,🏟,stadium,경기장,경기장
795,🏛,classical building,고전적인 건물,고전적인 건물
796,🏗,building construction,건물 건설,건물 건설
797,🧱,brick,벽돌,벽돌
798,🪨,rock,바위,바위
799,🪵,wood,목재,목재
800,🛖,hut,오두막,오두막
801,🏘,houses,주택,주택
802,🏚,derelict house,버려진 주택,버려진 주택
803,🏠,house,집,집
804,🏡,house with garden,정원 집,정원 집
805,🏢,office building,사무실 건물,사무실 건물
806,🏣,Japanese post office,일본 우체국,일본 우체국
807,🏤,post office,우체국,우체국
808,🏥,hospital,병원,병원
809,🏦,bank,은행,은행
810,🏨,hotel,호텔,호텔
811,🏩,love hotel,모텔,Love Hotel.
812,🏪,convenience store,편의점,편의점
813,🏫,school,학교,학교
814,🏬,department store,백화점,백화점
815,🏭,factory,공장,공장
816,🏯,Japanese castle,일본 성,일본 성
817,🏰,castle,성,성
818,💒,wedding,혼례,혼례
819,🗼,Tokyo tower,도쿄 타워,도쿄 타워
820,🗽,Statue of Liberty,자유의 여신상,자유의 여신상
821,⛪,church,교회,교회
822,🕌,mosque,사원,사원
823,🛕,hindu temple,힌두교 사원,힌두교 사원
824,🕍,synagogue,유태 교회당,유태 교회당
825,⛩,shinto shrine,신사 신사,신사 신사
826,🕋,kaaba,카바,kaaba.
827,⛲,fountain,분수,분수
828,⛺,tent,텐트,텐트
829,🌁,foggy,흐린,흐린
830,🌃,night with stars,별과 밤,별과 밤
831,🏙,cityscape,도시 풍경,도시 풍경
832,🌄,sunrise over mountains,산 위에 일출,산 위에 일출
833,🌅,sunrise,해돋이,해돋이
834,🌆,cityscape at dusk,저녁 도시 풍경입니다,Dusk에서 도시 풍경입니다
835,🌇,sunset,일몰,일몰
836,🌉,bridge at night,밤 다리,밤에 다리
837,♨,hot springs,온천,온천
838,🎠,carousel horse,회전 목마 말,회전 목마 말
839,🎡,ferris wheel,관람차,관람차
840,🎢,roller coaster,롤러 코스터,롤러 코스터
841,💈,barber pole,이발소의 간판 기둥,이발소의 간판 기둥
842,🎪,circus tent,서커스 텐트,서커스 텐트
843,🚂,locomotive,기관차,기관차
844,🚃,railway car,철도 차,철도 차
845,🚄,high-speed train,고속 열차,고속 열차
846,🚅,bullet train,초고속 열차,초고속 열차
847,🚆,train,기차,기차
848,🚇,metro,지하철,지하철
849,🚈,light rail,라이트 레일,라이트 레일
850,🚉,station,역,역
851,🚊,tram,시가 전차,시가 전차
852,🚝,monorail,모노레일,모노레일
853,🚞,mountain railway,산 철도,산 철도
854,🚋,tram car,트램 차,트램 차
855,🚌,bus,버스,버스
856,🚍,oncoming bus,다가오는 버스,다가오는 버스
857,🚎,trolleybus,무궤도 전차,무궤도 전차
858,🚐,minibus,소형 버스,소형 버스
859,🚑,ambulance,구급차,구급차
860,🚒,fire engine,소방차,소방차
861,🚓,police car,경찰차,경찰차
862,🚔,oncoming police car,다가오는 경찰차,다가오는 경찰차
863,🚕,taxi,택시,택시
864,🚖,oncoming taxi,다가오는 택시,다가오는 택시
865,🚗,automobile,자동차,자동차
866,🚘,oncoming automobile,다가오는 자동차,다가오는 자동차
867,🚙,sport utility vehicle,스포츠 유틸리티 차량,스포츠 유틸리티 차량
868,🛻,pickup truck,픽업 트럭,픽업 트럭
869,🚚,delivery truck,배달 트럭,배달 트럭
870,🚛,articulated lorry,뚜렷한 트럭,뚜렷한 트럭
871,🚜,tractor,트랙터,트랙터
872,🏎,racing car,경주 용 자동차,경주 용 자동차
873,🏍,motorcycle,오토바이,오토바이
874,🛵,motor scooter,모터 스쿠터,모터 스쿠터
875,🦽,manual wheelchair,수동 휠체어,수동 휠체어
876,🦼,motorized wheelchair,전동 휠체어,전동 휠체어
877,🛺,auto rickshaw,자동 인력거,자동 인력거
878,🚲,bicycle,자전거,자전거
879,🛴,kick scooter,킥보드,킥 스쿠터
880,🛹,skateboard,스케이트 보드,스케이트 보드
881,🛼,roller skate,롤러 스케이트,롤러 스케이트
882,🚏,bus stop,버스 정류장,버스 정류장
883,🛣,motorway,고속 도로,고속 도로
884,🛤,railway track,기찻길,기찻길
885,🛢,oil drum,기름 통,기름 통
886,⛽,fuel pump,연료 펌프,연료 펌프
887,🚨,police car light,경찰 자동차 라이트,경찰 자동차 라이트
888,🚥,horizontal traffic light,가로 신호등,가로 신호등
889,🚦,vertical traffic light,수직 신호등,수직 신호등
890,🛑,stop sign,정지 신호,정지 신호
891,🚧,construction,건설,건설
892,⚓,anchor,닻,닻
893,⛵,sailboat,요트,요트
894,🛶,canoe,카누,카누
895,🚤,speedboat,빠른 보트,쾌속정
896,🛳,passenger ship,여객선,여객선
897,⛴,ferry,나룻배,나룻배
898,🛥,motor boat,모터 보트,모터 보트
899,🚢,ship,배,배
900,✈,airplane,비행기,비행기
901,🛩,small airplane,작은 비행기,작은 비행기
902,🛫,airplane departure,비행기 출발,비행기 출발
903,🛬,airplane arrival,비행기 도착,비행기 도착
904,🪂,parachute,낙하산,낙하산
905,💺,seat,좌석,좌석
906,🚁,helicopter,헬리콥터,헬리콥터
907,🚟,suspension railway,정차한 철도,서스펜션 철도
908,🚠,mountain cableway,산악 케이블카,산 케이블 웨이
909,🚡,aerial tramway,공중 케이블카,공중 트램 웨이
910,🛰,satellite,인공위성,위성
911,🚀,rocket,로켓,로켓
912,🛸,flying saucer,비행 접시,비행 접시
913,🛎,bellhop bell,호출 벨,Bellhop Bell.
914,🧳,luggage,수화물,수화물
915,⌛,hourglass done,모래 시계,모래 시계 완료
916,⏳,hourglass not done,모래 시계 떨어지는 중,모래 시계가 완료되지 않았습니다
917,⌚,watch,손목 시계,손목 시계
918,⏰,alarm clock,알람 시계,알람 시계
919,⏱,stopwatch,스톱워치,스톱워치
920,⏲,timer clock,타이머,타이머 시계
921,🕰,mantelpiece clock,벽난로 시계,벽난로 클럭
922,🕛,twelve o’clock,12시,열두시
923,🕧,twelve-thirty,12시 30분,12시 30 분
924,🕐,one o’clock,1시,한시
925,🕜,one-thirty,1시 30분,1시 30 일
926,🕑,two o’clock,2시,2시
927,🕝,two-thirty,2시 30분,2 ~ 30
928,🕒,three o’clock,3시,3시
929,🕞,three-thirty,3시 30분,3-30.
930,🕓,four o’clock,4시,4시
931,🕟,four-thirty,4시 30분,4-30.
932,🕔,five o’clock,5시,다섯시
933,🕠,five-thirty,5시 30분,5-30.
934,🕕,six o’clock,6시,여섯시
935,🕡,six-thirty,6시 30분,6시 30 분
936,🕖,seven o’clock,7시,일곱시
937,🕢,seven-thirty,7시 30분,7시 30 일
938,🕗,eight o’clock,8시,여덟시
939,🕣,eight-thirty,8시 30분,여덟시 삼십분
940,🕘,nine o’clock,9시,아홉시
941,🕤,nine-thirty,9시 30분,9-30.
942,🕙,ten o’clock,10시,열시
943,🕥,ten-thirty,10시 30분,10 번째
944,🕚,eleven o’clock,11시,열 한시
945,🕦,eleven-thirty,11시 30분,열한시 삼십분
946,🌑,new moon,뉴 문,뉴 문
947,🌒,waxing crescent moon,초승달,초승달 왁싱
948,🌓,first quarter moon,상현달,1 분기 달
949,🌔,waxing gibbous moon,꽉찬 상현달,왁싱 기비 달
950,🌕,full moon,보름달,보름달
951,🌖,waning gibbous moon,꽉찬 하현달,Waning Gibbous Moon
952,🌗,last quarter moon,하현달,지난 분기 달
953,🌘,waning crescent moon,그믐달,Waning Crescent Moon
954,🌙,crescent moon,초승달,초승달
955,🌚,new moon face,달 모양 얼굴,새로운 달 얼굴
956,🌛,first quarter moon face,상현달 모양 얼굴,1 분기 달 얼굴
957,🌜,last quarter moon face,하현달 모양 얼굴,지난 분기 달 얼굴
958,🌡,thermometer,온도계,온도계
959,☀,sun,해,해
960,🌝,full moon face,보름달 모양 얼굴,보름달 얼굴
961,🌞,sun with face,태양 모양 얼굴,태양과 얼굴
962,🪐,ringed planet,고리가 있는 행성,고리가있는 행성
963,⭐,star,별,별
964,🌟,glowing star,빛나는 별,빛나는 별
965,🌠,shooting star,별똥별,슈팅 스타
966,🌌,milky way,은하수,은하수
967,☁,cloud,구름,구름
968,⛅,sun behind cloud,구름 뒤에 태양,구름 뒤에 태양
969,⛈,cloud with lightning and rain,번개와 비 구름,번개와 비가 구름
970,🌤,sun behind small cloud,작은 구름 뒤에 태양,작은 구름 뒤에 태양
971,🌥,sun behind large cloud,큰 구름 뒤에 태양,큰 구름 뒤에 태양
972,🌦,sun behind rain cloud,비 구름 뒤에 태양,비 구름 뒤에 태양
973,🌧,cloud with rain,비 구름,비와 구름
974,🌨,cloud with snow,눈 구름,눈이 구름
975,🌩,cloud with lightning,번개 구름,번개가있는 구름
976,🌪,tornado,폭풍,폭풍
977,🌫,fog,안개,안개
978,🌬,wind face,바람 모양 얼굴,바람 얼굴
979,🌀,cyclone,회오리,집진 장치
980,🌈,rainbow,무지개,무지개
981,🌂,closed umbrella,접힌 우산,닫힌 우산
982,☂,umbrella,펼쳐진 우산,우산
983,☔,umbrella with rain drops,빗방울 떨어지는 우산,비가 방울과 우산입니다
984,⛱,umbrella on ground,파라솔,지상에 우산
985,⚡,high voltage,번개,높은 전압
986,❄,snowflake,눈송이,눈송이
987,☃,snowman,눈사람,눈사람
988,⛄,snowman without snow,눈이없는 눈사람,눈이없는 눈사람
989,☄,comet,혜성,혜성
990,🔥,fire,불,불
991,💧,droplet,작은 물방울,작은 물방울
992,🌊,water wave,파도,물파
